id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_lm300,厚150mm,302-1-3,paving,m2,9254.0,,starter_from_design=351-import-v1; target_quantity=9254.0
,wa_lm300,厚400mm,302-8-7,paving,m2,1583.5,,starter_from_design=351-import-v1; target_quantity=1583.5
,wa_lm300,厚200mm,303-1-5,paving,m2,381.4,,starter_from_design=351-import-v1; target_quantity=381.4
,wa_lm300,厚340mm,303-1-8,paving,m2,66702.0,,starter_from_design=351-import-v1; target_quantity=66702.0
,wa_lm300,厚200mm,304-1-5,paving,m2,76243.378,,starter_from_design=351-import-v1; target_quantity=76243.378
,wa_lm300,黏层,305-2,paving,m2,183716.544,,starter_from_design=351-import-v1; target_quantity=183716.544
,wa_lm300,下封层,305-3-6,paving,m2,70396.378,,starter_from_design=351-import-v1; target_quantity=70396.378
,wa_lm300,防水黏结层,305-5-5,paving,m2,56929.42,,starter_from_design=351-import-v1; target_quantity=56929.42
,wa_lm300,抛丸,305-6-2,paving,m2,55449.78,,starter_from_design=351-import-v1; target_quantity=55449.78
,wa_lm300,厚80mm,306-1-3-4,paving,m2,58489.94,,starter_from_design=351-import-v1; target_quantity=58489.94
,wa_lm300,厚60mm,306-2-2-3,paving,m2,120392.24,,starter_from_design=351-import-v1; target_quantity=120392.24
,wa_lm300,厚140mm,306-2-2-5,paving,m2,5048.0,,starter_from_design=351-import-v1; target_quantity=5048.0
,wa_lm300,厚40mm,306-3-1-2,paving,m2,125033.83,,starter_from_design=351-import-v1; target_quantity=125033.83
,wa_lm300,C30混凝土,307-1-1,paving,m3,649.08,,starter_from_design=351-import-v1; target_quantity=649.08
,wa_lm300,C35混凝土,307-1-2,paving,m3,255.0,,starter_from_design=351-import-v1; target_quantity=255.0
,wa_lm300,C25混凝土,307-1-4,paving,m3,4800.0,,starter_from_design=351-import-v1; target_quantity=4800.0
,wa_lm300,带肋钢筋,307-2-2,paving,kg,1627.1,,starter_from_design=351-import-v1; target_quantity=1627.1
,wa_lm300,路肩培土,309-1,paving,m3,3100.7,,starter_from_design=351-import-v1; target_quantity=3100.7
,wa_lm300,C30混凝土,309-4-2-3,paving,m,2925.0,,starter_from_design=351-import-v1; target_quantity=2925.0
,wa_lm300,D300mm,310-1-1-2,paving,m,198.0,,starter_from_design=351-import-v1; target_quantity=198.0
,wa_lm300,D110mm,310-1-2-4,paving,m,368.0,,starter_from_design=351-import-v1; target_quantity=368.0
,wa_lm300,D300Ⅱ级钢筋砼雨水管,310-2-2-1,paving,m,174.0,,starter_from_design=351-import-v1; target_quantity=174.0
,wa_lm300,D600Ⅱ级钢筋砼雨水管,310-2-2-2,paving,m,466.52,,starter_from_design=351-import-v1; target_quantity=466.52
,wa_lm300,D800Ⅱ级钢筋砼雨水管,310-2-2-3,paving,m,100.01,,starter_from_design=351-import-v1; target_quantity=100.01
,wa_lm300,球墨铸铁给水管（DN200),310-2-3-2,paving,m,100.0,,starter_from_design=351-import-v1; target_quantity=100.0
,wa_lm300,中央分隔带渗沟,310-3,paving,m,1905.0,,starter_from_design=351-import-v1; target_quantity=1905.0
,wa_lm300,集水井,310-4,paving,座,10.0,,starter_from_design=351-import-v1; target_quantity=10.0
,wa_lm300,矩形钢筋砼（内空1.1×1.1m）,310-5-1,paving,座,15.0,,starter_from_design=351-import-v1; target_quantity=15.0
,wa_lm300,矩形钢筋砼（内空1.25×1.25m）,310-5-2,paving,座,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_lm300,砖砌单篦雨水口,310-10-1,paving,座,32.0,,starter_from_design=351-import-v1; target_quantity=32.0
,wa_lm300,砂砾（碎石）透水层,310-13-1,paving,m2,650.8,,starter_from_design=351-import-v1; target_quantity=650.8
,wa_lm300,透水土工布,310-13-2,paving,m2,5620.0,,starter_from_design=351-import-v1; target_quantity=5620.0
,wa_lm300,防渗土工布,310-13-5,paving,m2,5676.4,,starter_from_design=351-import-v1; target_quantity=5676.4
,wa_lm300,流水槽,310-15,paving,m,788.0,,starter_from_design=351-import-v1; target_quantity=788.0
,wa_lm300,急流槽,310-16,paving,m,24.7,,starter_from_design=351-import-v1; target_quantity=24.7
,wa_jtaq600,Gr-B-2E,602-6-7,traffic_safety,m,2196.0,,starter_from_design=351-import-v1; target_quantity=2196.0
,wa_jtaq600,Gr-A-4E,602-6-13,traffic_safety,m,673.0,,starter_from_design=351-import-v1; target_quantity=673.0
,wa_jtaq600,Gr-SB-2E,602-6-19,traffic_safety,m,4556.0,,starter_from_design=351-import-v1; target_quantity=4556.0
,wa_jtaq600,Gr-SBm-1B1,602-6-20,traffic_safety,m,460.0,,starter_from_design=351-import-v1; target_quantity=460.0
,wa_jtaq600,A级护栏与砼护栏搭接段（含3m翼墙）,602-6-21,traffic_safety,m,14.0,,starter_from_design=351-import-v1; target_quantity=14.0
,wa_jtaq600,SB级护栏与砼护栏搭接段（含3m翼墙）,602-6-22,traffic_safety,m,350.0,,starter_from_design=351-import-v1; target_quantity=350.0
,wa_jtaq600,SB级护栏隧道入口过渡段（含6m翼墙）,602-6-23,traffic_safety,m,126.0,,starter_from_design=351-import-v1; target_quantity=126.0
,wa_jtaq600,A级护栏上游端部,602-6-24,traffic_safety,m,60.0,,starter_from_design=351-import-v1; target_quantity=60.0
,wa_jtaq600,B级护栏上游端部,602-6-25,traffic_safety,m,84.0,,starter_from_design=351-import-v1; target_quantity=84.0
,wa_jtaq600,SB级护栏上游端部,602-6-26,traffic_safety,m,156.0,,starter_from_design=351-import-v1; target_quantity=156.0
,wa_jtaq600,TA级防撞垫,602-6-27,traffic_safety,个,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Gr-SBm-2E,602-7-13,traffic_safety,m,624.0,,starter_from_design=351-import-v1; target_quantity=624.0
,wa_jtaq600,易开型活动护栏,602-7-15,traffic_safety,m,80.0,,starter_from_design=351-import-v1; target_quantity=80.0
,wa_jtaq600,D-I端头,602-8-5,traffic_safety,个,34.0,,starter_from_design=351-import-v1; target_quantity=34.0
,wa_jtaq600,A型端头,602-8-6,traffic_safety,个,47.0,,starter_from_design=351-import-v1; target_quantity=47.0
,wa_jtaq600,B型端头,602-8-7,traffic_safety,个,3.0,,starter_from_design=351-import-v1; target_quantity=3.0
,wa_jtaq600,Φ89，停800mm,604-1-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ89，Δ900mm+○800mm,604-1-2,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ89，○1000mm,604-1-3,traffic_safety,套,6.0,,starter_from_design=351-import-v1; target_quantity=6.0
,wa_jtaq600,Φ89，1200mmX600mm,604-1-4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ89，Δ1100mm,604-1-5,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ89，Δ900mm+Δ900mm,604-1-6,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,Φ89，线型诱导标600mmx800mm,604-1-7,traffic_safety,套,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_jtaq600,Φ89，线型诱导标600mmx800mmx2,604-1-8,traffic_safety,套,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_jtaq600,Φ114，○1000+○1000mm,604-1-9,traffic_safety,套,7.0,,starter_from_design=351-import-v1; target_quantity=7.0
,wa_jtaq600,Φ114，○1000+1200mX800mm,604-1-10,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ114，1200mX1500mm,604-1-11,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,4000mmX2400mm+3000mmX2300mmX3,604-4-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,○1000mmx3,604-4-2,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,3000mmX2300mmX3,604-4-3,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ168，○1000mm,604-5-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ168，○1000mm+○1000mm,604-5-2,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,Φ219，3000mmX1800mm,604-5-3,traffic_safety,套,13.0,,starter_from_design=351-import-v1; target_quantity=13.0
,wa_jtaq600,Φ273，4000mmX1800mm,604-5-4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ325，4000mmX2400mm,604-5-5,traffic_safety,套,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_jtaq600,Φ377，5000mmX3000mm,604-5-6,traffic_safety,套,6.0,,starter_from_design=351-import-v1; target_quantity=6.0
,wa_jtaq600,Φ273，3000mmX2000mmX2,604-6-1,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,530mmX340mm,604-7-1,traffic_safety,套,7.0,,starter_from_design=351-import-v1; target_quantity=7.0
,wa_jtaq600,1400mmX700mmX2,604-7-2,traffic_safety,套,3.0,,starter_from_design=351-import-v1; target_quantity=3.0
,wa_jtaq600,里程碑,604-8-1,traffic_safety,个,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,里程牌,604-8-2,traffic_safety,个,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,公路界碑,604-9,traffic_safety,个,25.0,,starter_from_design=351-import-v1; target_quantity=25.0
,wa_jtaq600,百米桩,604-10-1,traffic_safety,个,30.0,,starter_from_design=351-import-v1; target_quantity=30.0
,wa_jtaq600,百米牌,604-10-2,traffic_safety,个,28.0,,starter_from_design=351-import-v1; target_quantity=28.0
,wa_jtaq600,防撞桶,604-11,traffic_safety,个,30.0,,starter_from_design=351-import-v1; target_quantity=30.0
,wa_jtaq600,道路反光镜,604-13,traffic_safety,个,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,水马,604-14,traffic_safety,m,500.0,,starter_from_design=351-import-v1; target_quantity=500.0
,wa_jtaq600,普通型,605-1-1,traffic_safety,m2,1464.0,,starter_from_design=351-import-v1; target_quantity=1464.0
,wa_jtaq600,震颤标线,605-1-3,traffic_safety,m2,1550.0,,starter_from_design=351-import-v1; target_quantity=1550.0
,wa_jtaq600,热熔雨夜标线,605-1-4,traffic_safety,m2,1550.0,,starter_from_design=351-import-v1; target_quantity=1550.0
,wa_jtaq600,人行横道线及预告标识,605-1-5,traffic_safety,m2,643.0,,starter_from_design=351-import-v1; target_quantity=643.0
,wa_jtaq600,纵向振动减速标线,605-1-6,traffic_safety,m2,342.0,,starter_from_design=351-import-v1; target_quantity=342.0
,wa_jtaq600,彩色防滑涂料标线,605-1-7,traffic_safety,m2,3375.0,,starter_from_design=351-import-v1; target_quantity=3375.0
,wa_jtaq600,渠化标线,605-1-8,traffic_safety,m2,199.0,,starter_from_design=351-import-v1; target_quantity=199.0
,wa_jtaq600,导向箭头,605-1-9,traffic_safety,m2,138.0,,starter_from_design=351-import-v1; target_quantity=138.0
,wa_jtaq600,停止线,605-1-10,traffic_safety,m2,44.0,,starter_from_design=351-import-v1; target_quantity=44.0
,wa_jtaq600,让行标线,605-1-11,traffic_safety,m2,10.0,,starter_from_design=351-import-v1; target_quantity=10.0
,wa_jtaq600,De-Rbw/y-E,605-7-1-1,traffic_safety,根,69.0,,starter_from_design=351-import-v1; target_quantity=69.0
,wa_jtaq600,De-Rbw/y-At1,605-7-2-1,traffic_safety,个,362.0,,starter_from_design=351-import-v1; target_quantity=362.0
,wa_jtaq600,De-Rbw/y-At2,605-7-2-2,traffic_safety,个,80.0,,starter_from_design=351-import-v1; target_quantity=80.0
,wa_jtaq600,De-Rbw/y-At3,605-7-2-3,traffic_safety,个,256.0,,starter_from_design=351-import-v1; target_quantity=256.0
,wa_jtaq600,LDS线型轮廓标,605-7-2-4,traffic_safety,个,177.0,,starter_from_design=351-import-v1; target_quantity=177.0
,wa_jtaq600,反光轮廓带,605-7-6-1,traffic_safety,只,1260.0,,starter_from_design=351-import-v1; target_quantity=1260.0
,wa_jtaq600,道口标柱,605-7-9,traffic_safety,个,28.0,,starter_from_design=351-import-v1; target_quantity=28.0
