id,name,type,owner,planned_progress,actual_progress,description
wa_lm300,300章路面,road,,0.0,0.0,Imported from 351 quantity list: 300章路面.xlsx
wa_jtaq600,600章交通安全设施,general,,0.0,0.0,Imported from 351 quantity list: 600章交通安全设施.xlsm
wa_qqtq_r,七秩塘桥右幅,bridge,,0.0,0.0,Imported from 351 quantity list: 七秩塘桥\七秩塘桥右幅.xls
wa_qqtq_l,七秩塘桥左幅,bridge,,0.0,0.0,Imported from 351 quantity list: 七秩塘桥\七秩塘桥左幅.xls
wa_glq,改路桥,bridge,,0.0,0.0,Imported from 351 quantity list: 改路桥\改路桥.xls
wa_hlddq_r,横路店大桥右幅,bridge,,0.0,0.0,Imported from 351 quantity list: 横路店大桥\横路店大桥右幅.xls
wa_hlddq_l,横路店大桥左幅,bridge,,0.0,0.0,Imported from 351 quantity list: 横路店大桥\横路店大桥左幅.xls
wa_lhhb700,第 700 章 绿化及环境保护工程,general,,0.0,0.0,Imported from 351 quantity list: 第 700 章 绿化及环境保护工程.xlsm
wa_zcsgg,自承式平直形架空钢管,bridge,,0.0,0.0,Imported from 351 quantity list: 自承式平直形架空钢管\自承式平直形架空钢管.xls
wa_mzht_a,马宅互通A辅道桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅互通A、B辅道桥\马宅互通A辅道桥.xls
wa_mzht_b,马宅互通B辅道桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅互通A、B辅道桥\马宅互通B辅道桥.xls
wa_mzdq,马宅大桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅大桥\马宅大桥.xls
