id,name,type,owner,planned_progress,actual_progress,description
w351_002,300章路面,road,,0.0,0.0,Imported from 351 quantity list: 300章路面.xlsx
w351_004,600章交通安全设施,general,,0.0,0.0,Imported from 351 quantity list: 600章交通安全设施.xlsm
w351_005,七秩塘桥右幅,bridge,,0.0,0.0,Imported from 351 quantity list: 七秩塘桥\七秩塘桥右幅.xls
w351_006,七秩塘桥左幅,bridge,,0.0,0.0,Imported from 351 quantity list: 七秩塘桥\七秩塘桥左幅.xls
w351_007,改路桥,bridge,,0.0,0.0,Imported from 351 quantity list: 改路桥\改路桥.xls
w351_008,横路店大桥右幅,bridge,,0.0,0.0,Imported from 351 quantity list: 横路店大桥\横路店大桥右幅.xls
w351_009,横路店大桥左幅,bridge,,0.0,0.0,Imported from 351 quantity list: 横路店大桥\横路店大桥左幅.xls
w351_010,第 700 章 绿化及环境保护工程,general,,0.0,0.0,Imported from 351 quantity list: 第 700 章 绿化及环境保护工程.xlsm
w351_011,自承式平直形架空钢管,bridge,,0.0,0.0,Imported from 351 quantity list: 自承式平直形架空钢管\自承式平直形架空钢管.xls
w351_012,马宅互通A辅道桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅互通A、B辅道桥\马宅互通A辅道桥.xls
w351_013,马宅互通B辅道桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅互通A、B辅道桥\马宅互通B辅道桥.xls
w351_014,马宅大桥,bridge,,0.0,0.0,Imported from 351 quantity list: 马宅大桥\马宅大桥.xls
