id,work_area_id,item_name,item_code,category,unit,target_quantity,design_version,notes
,wa_paving_ch300,厚150mm,302-1-3,paving,m2,9254.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=5
,wa_paving_ch300,厚400mm,302-8-7,paving,m2,1583.5,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=7
,wa_paving_ch300,厚200mm,303-1-5,paving,m2,381.4,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=10
,wa_paving_ch300,厚340mm,303-1-8,paving,m2,66702.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=11
,wa_paving_ch300,厚200mm,304-1-5,paving,m2,76243.378,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=13
,wa_paving_ch300,黏层,305-2,paving,m2,183716.544,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=15
,wa_paving_ch300,下封层,305-3-6,paving,m2,70396.378,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=17
,wa_paving_ch300,防水黏结层,305-5-5,paving,m2,56929.42,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=18
,wa_paving_ch300,抛丸,305-6-2,paving,m2,55449.78,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=20
,wa_paving_ch300,厚80mm,306-1-3-4,paving,m2,58489.94,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=26
,wa_paving_ch300,厚60mm,306-2-2-3,paving,m2,120392.24,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=29
,wa_paving_ch300,厚140mm,306-2-2-5,paving,m2,5048.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=30
,wa_paving_ch300,厚40mm,306-3-1-2,paving,m2,125033.83,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=33
,wa_paving_ch300,C30混凝土,307-1-1,paving,m3,649.08,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=36
,wa_paving_ch300,C35混凝土,307-1-2,paving,m3,255.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=37
,wa_paving_ch300,C25混凝土,307-1-4,paving,m3,4800.0,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=38
,wa_paving_ch300,带肋钢筋,307-2-2,paving,kg,1627.1,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=40
,wa_paving_ch300,路肩培土,309-1,paving,m3,3100.7,351-import-v1,source_file=300章路面.xlsx; sheet=300章; source_column=数量; row=42
