id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_jtaq600,Gr-B-2E,602-6-7,traffic_safety,m,2196.0,,starter_from_design=351-import-v1; target_quantity=2196.0
,wa_jtaq600,Gr-A-4E,602-6-13,traffic_safety,m,673.0,,starter_from_design=351-import-v1; target_quantity=673.0
,wa_jtaq600,Gr-SB-2E,602-6-19,traffic_safety,m,4556.0,,starter_from_design=351-import-v1; target_quantity=4556.0
,wa_jtaq600,Gr-SBm-1B1,602-6-20,traffic_safety,m,460.0,,starter_from_design=351-import-v1; target_quantity=460.0
,wa_jtaq600,A级护栏与砼护栏搭接段（含3m翼墙）,602-6-21,traffic_safety,m,14.0,,starter_from_design=351-import-v1; target_quantity=14.0
,wa_jtaq600,SB级护栏与砼护栏搭接段（含3m翼墙）,602-6-22,traffic_safety,m,350.0,,starter_from_design=351-import-v1; target_quantity=350.0
,wa_jtaq600,SB级护栏隧道入口过渡段（含6m翼墙）,602-6-23,traffic_safety,m,126.0,,starter_from_design=351-import-v1; target_quantity=126.0
,wa_jtaq600,A级护栏上游端部,602-6-24,traffic_safety,m,60.0,,starter_from_design=351-import-v1; target_quantity=60.0
,wa_jtaq600,B级护栏上游端部,602-6-25,traffic_safety,m,84.0,,starter_from_design=351-import-v1; target_quantity=84.0
,wa_jtaq600,SB级护栏上游端部,602-6-26,traffic_safety,m,156.0,,starter_from_design=351-import-v1; target_quantity=156.0
,wa_jtaq600,TA级防撞垫,602-6-27,traffic_safety,个,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Gr-SBm-2E,602-7-13,traffic_safety,m,624.0,,starter_from_design=351-import-v1; target_quantity=624.0
,wa_jtaq600,易开型活动护栏,602-7-15,traffic_safety,m,80.0,,starter_from_design=351-import-v1; target_quantity=80.0
,wa_jtaq600,D-I端头,602-8-5,traffic_safety,个,34.0,,starter_from_design=351-import-v1; target_quantity=34.0
,wa_jtaq600,A型端头,602-8-6,traffic_safety,个,47.0,,starter_from_design=351-import-v1; target_quantity=47.0
,wa_jtaq600,B型端头,602-8-7,traffic_safety,个,3.0,,starter_from_design=351-import-v1; target_quantity=3.0
,wa_jtaq600,Φ89，停800mm,604-1-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ89，Δ900mm+○800mm,604-1-2,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ89，○1000mm,604-1-3,traffic_safety,套,6.0,,starter_from_design=351-import-v1; target_quantity=6.0
,wa_jtaq600,Φ89，1200mmX600mm,604-1-4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ89，Δ1100mm,604-1-5,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ89，Δ900mm+Δ900mm,604-1-6,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,Φ89，线型诱导标600mmx800mm,604-1-7,traffic_safety,套,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_jtaq600,Φ89，线型诱导标600mmx800mmx2,604-1-8,traffic_safety,套,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_jtaq600,Φ114，○1000+○1000mm,604-1-9,traffic_safety,套,7.0,,starter_from_design=351-import-v1; target_quantity=7.0
,wa_jtaq600,Φ114，○1000+1200mX800mm,604-1-10,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ114，1200mX1500mm,604-1-11,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,4000mmX2400mm+3000mmX2300mmX3,604-4-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,○1000mmx3,604-4-2,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,3000mmX2300mmX3,604-4-3,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ168，○1000mm,604-5-1,traffic_safety,套,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,Φ168，○1000mm+○1000mm,604-5-2,traffic_safety,套,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,Φ219，3000mmX1800mm,604-5-3,traffic_safety,套,13.0,,starter_from_design=351-import-v1; target_quantity=13.0
,wa_jtaq600,Φ273，4000mmX1800mm,604-5-4,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,Φ325，4000mmX2400mm,604-5-5,traffic_safety,套,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_jtaq600,Φ377，5000mmX3000mm,604-5-6,traffic_safety,套,6.0,,starter_from_design=351-import-v1; target_quantity=6.0
,wa_jtaq600,Φ273，3000mmX2000mmX2,604-6-1,traffic_safety,套,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,530mmX340mm,604-7-1,traffic_safety,套,7.0,,starter_from_design=351-import-v1; target_quantity=7.0
,wa_jtaq600,1400mmX700mmX2,604-7-2,traffic_safety,套,3.0,,starter_from_design=351-import-v1; target_quantity=3.0
,wa_jtaq600,里程碑,604-8-1,traffic_safety,个,2.0,,starter_from_design=351-import-v1; target_quantity=2.0
,wa_jtaq600,里程牌,604-8-2,traffic_safety,个,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_jtaq600,公路界碑,604-9,traffic_safety,个,25.0,,starter_from_design=351-import-v1; target_quantity=25.0
,wa_jtaq600,百米桩,604-10-1,traffic_safety,个,30.0,,starter_from_design=351-import-v1; target_quantity=30.0
,wa_jtaq600,百米牌,604-10-2,traffic_safety,个,28.0,,starter_from_design=351-import-v1; target_quantity=28.0
,wa_jtaq600,防撞桶,604-11,traffic_safety,个,30.0,,starter_from_design=351-import-v1; target_quantity=30.0
,wa_jtaq600,道路反光镜,604-13,traffic_safety,个,1.0,,starter_from_design=351-import-v1; target_quantity=1.0
,wa_jtaq600,水马,604-14,traffic_safety,m,500.0,,starter_from_design=351-import-v1; target_quantity=500.0
,wa_jtaq600,普通型,605-1-1,traffic_safety,m2,1464.0,,starter_from_design=351-import-v1; target_quantity=1464.0
,wa_jtaq600,震颤标线,605-1-3,traffic_safety,m2,1550.0,,starter_from_design=351-import-v1; target_quantity=1550.0
,wa_jtaq600,热熔雨夜标线,605-1-4,traffic_safety,m2,1550.0,,starter_from_design=351-import-v1; target_quantity=1550.0
,wa_jtaq600,人行横道线及预告标识,605-1-5,traffic_safety,m2,643.0,,starter_from_design=351-import-v1; target_quantity=643.0
