id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_lm300,厚150mm,302-1-3,paving,m2,9254.0,4627.0,starter_from_design=351-import-v1; target_quantity=9254.0; sample_actual_day12=50%
,wa_lm300,厚400mm,302-8-7,paving,m2,1583.5,633.4,starter_from_design=351-import-v1; target_quantity=1583.5; sample_actual_day12=40%
,wa_lm300,厚200mm,303-1-5,paving,m2,381.4,171.6,starter_from_design=351-import-v1; target_quantity=381.4; sample_actual_day12=45%
,wa_lm300,厚340mm,303-1-8,paving,m2,66702.0,28681.9,starter_from_design=351-import-v1; target_quantity=66702.0; sample_actual_day12=43%
,wa_lm300,厚200mm,304-1-5,paving,m2,76243.378,32784.7,starter_from_design=351-import-v1; target_quantity=76243.378; sample_actual_day12=43%
,wa_lm300,黏层,305-2,paving,m2,183716.544,71649.5,starter_from_design=351-import-v1; target_quantity=183716.544; sample_actual_day12=39%
,wa_lm300,下封层,305-3-6,paving,m2,70396.378,26750.6,starter_from_design=351-import-v1; target_quantity=70396.378; sample_actual_day12=38%
,wa_lm300,防水黏结层,305-5-5,paving,m2,56929.42,21063.9,starter_from_design=351-import-v1; target_quantity=56929.42; sample_actual_day12=37%
,wa_lm300,抛丸,305-6-2,paving,m2,55449.78,18852.9,starter_from_design=351-import-v1; target_quantity=55449.78; sample_actual_day12=34%
,wa_lm300,厚80mm,306-1-3-4,paving,m2,58489.94,25735.6,starter_from_design=351-import-v1; target_quantity=58489.94; sample_actual_day12=44%
,wa_lm300,厚60mm,306-2-2-3,paving,m2,120392.24,49360.8,starter_from_design=351-import-v1; target_quantity=120392.24; sample_actual_day12=41%
,wa_lm300,厚140mm,306-2-2-5,paving,m2,5048.0,1665.8,starter_from_design=351-import-v1; target_quantity=5048.0; sample_actual_day12=33%
,wa_lm300,厚40mm,306-3-1-2,paving,m2,125033.83,45012.2,starter_from_design=351-import-v1; target_quantity=125033.83; sample_actual_day12=36%
,wa_lm300,C30混凝土,307-1-1,paving,m3,649.08,240.2,starter_from_design=351-import-v1; target_quantity=649.08; sample_actual_day12=37%
,wa_lm300,C35混凝土,307-1-2,paving,m3,255.0,91.8,starter_from_design=351-import-v1; target_quantity=255.0; sample_actual_day12=36%
,wa_lm300,C25混凝土,307-1-4,paving,m3,4800.0,1872.0,starter_from_design=351-import-v1; target_quantity=4800.0; sample_actual_day12=39%
,wa_lm300,带肋钢筋,307-2-2,paving,kg,1627.1,602.0,starter_from_design=351-import-v1; target_quantity=1627.1; sample_actual_day12=37%
,wa_lm300,路肩培土,309-1,paving,m3,3100.7,1085.2,starter_from_design=351-import-v1; target_quantity=3100.7; sample_actual_day12=35%
,wa_lm300,C30混凝土,309-4-2-3,paving,m,2925.0,1228.5,starter_from_design=351-import-v1; target_quantity=2925.0; sample_actual_day12=42%
,wa_lm300,D300mm,310-1-1-2,paving,m,198.0,59.4,starter_from_design=351-import-v1; target_quantity=198.0; sample_actual_day12=30%
,wa_lm300,D110mm,310-1-2-4,paving,m,368.0,121.4,starter_from_design=351-import-v1; target_quantity=368.0; sample_actual_day12=33%
,wa_lm300,D300Ⅱ级钢筋砼雨水管,310-2-2-1,paving,m,174.0,52.2,starter_from_design=351-import-v1; target_quantity=174.0; sample_actual_day12=30%
,wa_lm300,D600Ⅱ级钢筋砼雨水管,310-2-2-2,paving,m,466.52,144.6,starter_from_design=351-import-v1; target_quantity=466.52; sample_actual_day12=31%
,wa_lm300,D800Ⅱ级钢筋砼雨水管,310-2-2-3,paving,m,100.01,28.0,starter_from_design=351-import-v1; target_quantity=100.01; sample_actual_day12=28%
,wa_lm300,球墨铸铁给水管（DN200),310-2-3-2,paving,m,100.0,32.0,starter_from_design=351-import-v1; target_quantity=100.0; sample_actual_day12=32%
,wa_lm300,中央分隔带渗沟,310-3,paving,m,1905.0,685.8,starter_from_design=351-import-v1; target_quantity=1905.0; sample_actual_day12=36%
,wa_lm300,集水井,310-4,paving,座,10.0,3.0,starter_from_design=351-import-v1; target_quantity=10.0; sample_actual_day12=30%
,wa_lm300,矩形钢筋砼（内空1.1×1.1m）,310-5-1,paving,座,15.0,5.0,starter_from_design=351-import-v1; target_quantity=15.0; sample_actual_day12=33%
,wa_lm300,矩形钢筋砼（内空1.25×1.25m）,310-5-2,paving,座,4.0,1.0,starter_from_design=351-import-v1; target_quantity=4.0; sample_actual_day12=25%
,wa_lm300,砖砌单篦雨水口,310-10-1,paving,座,32.0,10.0,starter_from_design=351-import-v1; target_quantity=32.0; sample_actual_day12=31%
,wa_lm300,砂砾（碎石）透水层,310-13-1,paving,m2,650.8,208.3,starter_from_design=351-import-v1; target_quantity=650.8; sample_actual_day12=32%
,wa_lm300,透水土工布,310-13-2,paving,m2,5620.0,1742.2,starter_from_design=351-import-v1; target_quantity=5620.0; sample_actual_day12=31%
,wa_lm300,防渗土工布,310-13-5,paving,m2,5676.4,1702.9,starter_from_design=351-import-v1; target_quantity=5676.4; sample_actual_day12=30%
,wa_lm300,流水槽,310-15,paving,m,788.0,244.3,starter_from_design=351-import-v1; target_quantity=788.0; sample_actual_day12=31%
,wa_lm300,急流槽,310-16,paving,m,24.7,7.4,starter_from_design=351-import-v1; target_quantity=24.7; sample_actual_day12=30%
