id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_mzdq,光圆钢筋,403-1-1,bridge,kg,26186.599999999948,12569.568,starter_from_design=351-import-v1; target_quantity=26186.599999999948; sample_actual_day18=48%
,wa_mzdq,带肋钢筋,403-1-2,bridge,kg,519695.2000000004,249453.696,starter_from_design=351-import-v1; target_quantity=519695.2000000004; sample_actual_day18=48%
,wa_mzdq,光圆钢筋,403-2-1,bridge,kg,1632.5999999999997,718.344,starter_from_design=351-import-v1; target_quantity=1632.5999999999997; sample_actual_day18=44%
,wa_mzdq,带肋钢筋,403-2-2,bridge,kg,660736.6571492001,290724.129,starter_from_design=351-import-v1; target_quantity=660736.6571492001; sample_actual_day18=44%
,wa_mzdq,冷轧带肋钢筋焊接网 (台身防裂钢筋网）,403-2-3,bridge,kg,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=44%
,wa_mzdq,光圆钢筋,403-3-1,bridge,kg,303751.9408600002,109350.699,starter_from_design=351-import-v1; target_quantity=303751.9408600002; sample_actual_day18=36%
,wa_mzdq,带肋钢筋,403-3-2,bridge,kg,1280098.0852159993,460835.311,starter_from_design=351-import-v1; target_quantity=1280098.0852159993; sample_actual_day18=36%
,wa_mzdq,D10冷轧钢筋焊接网,403-3-3-2,bridge,kg,151041.6,54374.976,starter_from_design=351-import-v1; target_quantity=151041.6; sample_actual_day18=36%
,wa_mzdq,光圆钢筋,403-4-1,bridge,kg,39480.600000000006,12633.792,starter_from_design=351-import-v1; target_quantity=39480.600000000006; sample_actual_day18=32%
,wa_mzdq,带肋钢筋,403-4-2,bridge,kg,161073.96000000002,51543.667,starter_from_design=351-import-v1; target_quantity=161073.96000000002; sample_actual_day18=32%
,wa_mzdq,基础挖方及回填,404-1,bridge,m3,9714.0,3885.6,starter_from_design=351-import-v1; target_quantity=9714.0; sample_actual_day18=40%
,wa_mzdq,桩径1.2m,405-3-4,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=28%
,wa_mzdq,桩径1.3m,405-3-5,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=28%
,wa_mzdq,桩径1.5m,405-3-7,bridge,m,1470.8000000000002,411.824,starter_from_design=351-import-v1; target_quantity=1470.8000000000002; sample_actual_day18=28%
,wa_mzdq,桩径1.8m,405-3-10,bridge,m,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=28%
,wa_mzdq,声测管,405-4,bridge,m,4625.400000000001,1387.62,starter_from_design=351-import-v1; target_quantity=4625.400000000001; sample_actual_day18=30%
,wa_mzdq,C30混凝土,410-1-4,bridge,m3,2852.45,741.637,starter_from_design=351-import-v1; target_quantity=2852.45; sample_actual_day18=26%
,wa_mzdq,C30混凝土,410-2-1-2,bridge,m3,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=22%
,wa_mzdq,C35混凝土,410-2-1-3,bridge,m3,1419.770874584486,312.35,starter_from_design=351-import-v1; target_quantity=1419.770874584486; sample_actual_day18=22%
,wa_mzdq,C25混凝土（镇墩）,410-2-1-1,bridge,m3,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=22%
,wa_mzdq,C35混凝土,410-2-2-3,bridge,m3,799.1,175.802,starter_from_design=351-import-v1; target_quantity=799.1; sample_actual_day18=22%
,wa_mzdq,C50混凝土(盖梁挡块）,410-2-3-3,bridge,m3,14.159999999999998,3.115,starter_from_design=351-import-v1; target_quantity=14.159999999999998; sample_actual_day18=22%
,wa_mzdq,C35混凝土（台帽、挡块、挡土板）,410-2-3-5,bridge,m3,295.81999999999994,65.08,starter_from_design=351-import-v1; target_quantity=295.81999999999994; sample_actual_day18=22%
,wa_mzdq,C35混凝土（耳背墙）,410-2-4-3,bridge,m3,0.0,0,starter_from_design=351-import-v1; target_quantity=0.0; sample_actual_day18=22%
