id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_qqtq_l,光圆钢筋,403-1-1,bridge,kg,13305.7,,starter_from_design=351-import-v1; target_quantity=13305.7
,wa_qqtq_l,带肋钢筋,403-1-2,bridge,kg,150385.70000000007,,starter_from_design=351-import-v1; target_quantity=150385.70000000007
,wa_qqtq_l,光圆钢筋,403-2-1,bridge,kg,8882.600000000002,,starter_from_design=351-import-v1; target_quantity=8882.600000000002
,wa_qqtq_l,带肋钢筋,403-2-2,bridge,kg,187611.61101600004,,starter_from_design=351-import-v1; target_quantity=187611.61101600004
,wa_qqtq_l,冷轧带肋钢筋焊接网 (台身防裂钢筋网）,403-2-3,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,光圆钢筋,403-3-1,bridge,kg,89281.8,,starter_from_design=351-import-v1; target_quantity=89281.8
,wa_qqtq_l,带肋钢筋,403-3-2,bridge,kg,386827.0,,starter_from_design=351-import-v1; target_quantity=386827.0
,wa_qqtq_l,D10冷轧钢筋焊接网,403-3-3-2,bridge,kg,46200.96,,starter_from_design=351-import-v1; target_quantity=46200.96
,wa_qqtq_l,光圆钢筋,403-4-1,bridge,kg,13300.8,,starter_from_design=351-import-v1; target_quantity=13300.8
,wa_qqtq_l,带肋钢筋,403-4-2,bridge,kg,60591.28,,starter_from_design=351-import-v1; target_quantity=60591.28
,wa_qqtq_l,基础挖方及回填,404-1,bridge,m3,310.0,,starter_from_design=351-import-v1; target_quantity=310.0
,wa_qqtq_l,桩径1.2m,405-3-4,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,桩径1.3m,405-3-5,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,桩径1.5m,405-3-7,bridge,m,238.5,,starter_from_design=351-import-v1; target_quantity=238.5
,wa_qqtq_l,桩径1.8m,405-3-10,bridge,m,499.5,,starter_from_design=351-import-v1; target_quantity=499.5
,wa_qqtq_l,声测管,405-4,bridge,m,2767.5,,starter_from_design=351-import-v1; target_quantity=2767.5
,wa_qqtq_l,C30混凝土,410-1-4,bridge,m3,273.02,,starter_from_design=351-import-v1; target_quantity=273.02
,wa_qqtq_l,C30混凝土,410-2-1-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,C35混凝土,410-2-1-3,bridge,m3,698.7802636998422,,starter_from_design=351-import-v1; target_quantity=698.7802636998422
,wa_qqtq_l,C25混凝土（镇墩）,410-2-1-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,C35混凝土,410-2-2-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,C50混凝土(盖梁挡块）,410-2-3-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,C35混凝土（台帽、挡块、挡土板）,410-2-3-5,bridge,m3,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_qqtq_l,C35混凝土（耳背墙）,410-2-4-3,bridge,m3,76.38,,starter_from_design=351-import-v1; target_quantity=76.38
,wa_qqtq_l,C50混凝土,410-2-5-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,C35混凝土,410-2-5-5,bridge,m3,475.43,,starter_from_design=351-import-v1; target_quantity=475.43
,wa_qqtq_l,C35混凝土(柱系梁）,410-2-6-3,bridge,m3,84.0,,starter_from_design=351-import-v1; target_quantity=84.0
,wa_qqtq_l,C35混凝土,410-2-7-5,bridge,m3,8.54,,starter_from_design=351-import-v1; target_quantity=8.54
,wa_qqtq_l,C50混凝土,410-5-5,bridge,m3,357.82,,starter_from_design=351-import-v1; target_quantity=357.82
,wa_qqtq_l,C35混凝土,410-6-5,bridge,m3,310.86,,starter_from_design=351-import-v1; target_quantity=310.86
,wa_qqtq_l,C50混凝土（护栏背包砼加劲肋）,410-6-8,bridge,m3,0.6,,starter_from_design=351-import-v1; target_quantity=0.6
,wa_qqtq_l,后张法预应力钢绞线,411-5,bridge,kg,68256.79999999999,,starter_from_design=351-import-v1; target_quantity=68256.79999999999
,wa_qqtq_l,C50混凝土（预制部分）,411-8-3-3,bridge,m3,1731.9,,starter_from_design=351-import-v1; target_quantity=1731.9
,wa_qqtq_l,C50混凝土,411-4-8-3,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,M7.5浆砌片石,413-1-1,bridge,m3,29.8,,starter_from_design=351-import-v1; target_quantity=29.8
,wa_qqtq_l,衡重式路堤墙墙后填料,413-1-2,bridge,m3,578.0,,starter_from_design=351-import-v1; target_quantity=578.0
,wa_qqtq_l,六角空心块,413-4-1,bridge,m2,991.5,,starter_from_design=351-import-v1; target_quantity=991.5
,wa_qqtq_l,锥坡挡墙,413-4-2,bridge,m3,144.9,,starter_from_design=351-import-v1; target_quantity=144.9
,wa_qqtq_l,预埋钢材,414-1,bridge,kg,3643.2200000000003,,starter_from_design=351-import-v1; target_quantity=3643.2200000000003
,wa_qqtq_l,水泥混凝土桥面调平层（C50）,415-1,bridge,m3,360.0,,starter_from_design=351-import-v1; target_quantity=360.0
,wa_qqtq_l,GBZJ 250×300×52mm,416-1-1,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GBZJ 250×250×41mm,416-1-2,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GPZ(2019)1.5 SX,416-2-1,bridge,个,20.0,,starter_from_design=351-import-v1; target_quantity=20.0
,wa_qqtq_l,GPZ(2019)1.5 DX,416-2-2,bridge,个,8.0,,starter_from_design=351-import-v1; target_quantity=8.0
,wa_qqtq_l,GPZ(2019)2.5 SX,416-2-3,bridge,个,20.0,,starter_from_design=351-import-v1; target_quantity=20.0
,wa_qqtq_l,GPZ(2019)2.5 DX,416-2-4,bridge,个,18.0,,starter_from_design=351-import-v1; target_quantity=18.0
,wa_qqtq_l,GPZ(2019)2.5 GD,416-2-5,bridge,个,4.0,,starter_from_design=351-import-v1; target_quantity=4.0
,wa_qqtq_l,GPZ(2019)2.0 SX,416-2-6,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GPZ(2019)2.0 DX,416-2-7,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GPZ(2019)3.5 SX,416-2-8,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GPZ(2019)3.5 DX,416-2-9,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,GPZ(2019)3.5 GD,416-2-10,bridge,个,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,40型,417-5-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,60型,417-5-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_qqtq_l,80型,417-5-3,bridge,m,32.0,,starter_from_design=351-import-v1; target_quantity=32.0
,wa_qqtq_l,160型,417-5-5,bridge,m,16.0,,starter_from_design=351-import-v1; target_quantity=16.0
,wa_qqtq_l,DN160,418-1-1,bridge,m,240.0,,starter_from_design=351-import-v1; target_quantity=240.0
,wa_qqtq_l,DN200,418-1-2,bridge,m,160.0,,starter_from_design=351-import-v1; target_quantity=160.0
,wa_qqtq_l,桥面边部碎石盲沟,418-2,bridge,m3,21.599999999999998,,starter_from_design=351-import-v1; target_quantity=21.599999999999998
,wa_qqtq_l,泄水管,418-3,bridge,套,49.0,,starter_from_design=351-import-v1; target_quantity=49.0
