id,work_area_id,resource_type,resource_name,quantity,unit,record_day,supplier,notes
,wa_qqtq_r,machine,机械设备,9.0,set,303,七秩塘桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=旋挖机：1台 挖机：2台 吊车：4辆 洒水车：1辆 装载机：1台
,wa_mzdq,machine,机械设备,2.0,set,303,马宅大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=旋挖机：1台 吊车：1辆
,wa_hlddq_r,machine,机械设备,3.0,set,303,横路店大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=旋挖机：1台 吊车：1辆 挖机1台
,wa_mzdq,machine,机械设备,9.0,set,303,梁板预制场,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=龙门吊：4台 水泥罐车：2辆 装载机：1辆 张拉机：1台 压浆机：1台
,wa_lm300,machine,机械设备,10.0,set,303,七秩塘,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=挖掘机: 2台。压路机：1台，后八轮加长车：7辆
,wa_lm300,labor,班组人数,26.0,person,303,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx
,wa_lm300,machine,机械设备,21.0,set,303,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=炮头机3台 挖掘机4台 后八轮6辆 前四后八车8辆
,wa_lm300,labor,班组人数,2.0,person,303,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx
,wa_lm300,machine,机械设备,6.0,set,303,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=挖机3台 装载机1台 后八轮2台
,wa_lm300,machine,机械设备,2.0,set,303,1、K7+330~K7+450,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(1).xlsx; detail=200挖机2号台、349炮头机2台、铲车一台、压路机一台。
,wa_qqtq_r,machine,机械设备,9.0,set,318,七秩塘桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=旋挖机：1台 挖机：2台 吊车：4辆 洒水车：1辆 装载机：1台
,wa_mzdq,machine,机械设备,2.0,set,318,马宅大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=旋挖机：1台 吊车：1辆
,wa_hlddq_r,machine,机械设备,3.0,set,318,横路店大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=旋挖机：1台 吊车：1辆 挖机1台
,wa_mzdq,machine,机械设备,9.0,set,318,梁板预制场,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=龙门吊：4台 水泥罐车：2辆 装载机：1辆 张拉机：1台 压浆机：1台
,wa_lm300,machine,机械设备,10.0,set,318,七秩塘,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=挖掘机: 2台。压路机：1台，后八轮加长车：7辆
,wa_lm300,labor,班组人数,26.0,person,318,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx
,wa_lm300,machine,机械设备,20.0,set,318,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=炮头机1台 挖掘机4台 后八轮5辆 5方车10辆
,wa_lm300,labor,班组人数,2.0,person,318,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx
,wa_lm300,machine,机械设备,6.0,set,318,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=挖机3台 装载机1台 后八轮2台
,wa_lm300,machine,机械设备,2.0,set,318,1、K7+330~K7+450,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10)(1).xlsx; detail=200挖机2号台、349炮头机2台、铲车一台、压路机一台。
,wa_qqtq_r,machine,机械设备,9.0,set,221,七秩塘桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=旋挖机：1台 挖机：2台 吊车：4辆 洒水车：1辆 装载机：1台
,wa_mzdq,machine,机械设备,2.0,set,221,马宅大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=旋挖机：1台 吊车：1辆
,wa_hlddq_r,machine,机械设备,3.0,set,221,横路店大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=旋挖机：1台 吊车：1辆 挖机1台
,wa_mzdq,machine,机械设备,9.0,set,221,梁板预制场,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=龙门吊：4台 水泥罐车：2辆 装载机：1辆 张拉机：1台 压浆机：1台
,wa_lm300,machine,机械设备,10.0,set,221,七秩塘,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=挖掘机: 2台。压路机：1台，后八轮加长车：7辆
,wa_lm300,labor,班组人数,26.0,person,221,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx
,wa_lm300,machine,机械设备,12.0,set,221,路基2工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=炮头机3台 挖掘机3台 前四后八车6辆
,wa_lm300,labor,班组人数,2.0,person,221,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx
,wa_lm300,machine,机械设备,6.0,set,221,路基3工区,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=挖机3台 装载机1台 后八轮2台
,wa_lm300,machine,机械设备,2.0,set,221,1、K7+330~K7+450,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(10).xlsx; detail=200挖机2号台、349炮头机2台、铲车一台、压路机一台。
,wa_qqtq_r,machine,机械设备,9.0,set,310,七秩塘桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(12).xlsx; detail=旋挖机：1台 挖机：2台 吊车：4辆 洒水车：1辆 装载机：1台
,wa_mzdq,machine,机械设备,2.0,set,310,马宅大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(12).xlsx; detail=旋挖机：1台 吊车：1辆
,wa_hlddq_r,machine,机械设备,3.0,set,310,横路店大桥,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(12).xlsx; detail=旋挖机：1台 吊车：1辆 挖机1台
,wa_mzdq,machine,机械设备,9.0,set,310,梁板预制场,from_daily_report=351国道磐安安文至东阳马宅段改建工程施工日报(12).xlsx; detail=龙门吊：4台 水泥罐车：2辆 装载机：1辆 张拉机：1台 压浆机：1台
